201701020010000200000000000000004556                8000000000030712479945INOXIDABLES DEL SUR S.A       000000000908952000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701040010001500000000000000005691                8000000000030711794286MASTER CLEAN SA               000000000520542000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701070010000300000000000000023705                8000000000030711794286MASTER CLEAN SA               000000000015734000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612020010000300000000000000000511                8000000000020167350993CANIZARES SERGIO LUIS         000000000199360000000000000000000000000000000000000000000000000000000000000000000000005760000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701090010000400000000000000039701                8000000000030703596394MAROPOR S.R.L                 000000000842818000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612140010000500000000000000001064                8000000000030607769415NOMASGOT S.R.L                000000001219244000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612120010004600000000000000001904                8000000000030621558982NOVA INFORMATICA S.A          000000000151500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701110010000300000000000000000060                8000000000023262936449ORTIZ VICTOR HUGO             000000003748091000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612280010002300000000000000028083                8000000000030556095597PAREXKLAUKOL S.A              000000000231155000000000000000000000000000000000000000005435000000000000000000000000006522000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612280010002300000000000000028085                8000000000030556095597PAREXKLAUKOL S.A              000000002550882000000000000000000000000000000000000000059974000000000000000000000000071968000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612280010002300000000000000028087                8000000000030556095597PAREXKLAUKOL S.A              000000000991986000000000000000000000000000000000000000023323000000000000000000000000027987000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612280010002300000000000000028088                8000000000030556095597PAREXKLAUKOL S.A              000000003109351000000000000000000000000000000000000000073104000000000000000000000000087725000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
